,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,st_rad,st_mass,st_met,sy_dist,decade_of_discovery,pl_type,st_compactness
1167,K2-188 b,K2-188,1,2,Transit,2018,1.742169,1.35,1.19,1.06,-0.01,446.821,2010s,Super-Earth,0.8907563025210085
1168,K2-188 c,K2-188,1,2,Transit,2018,7.810253,2.83,1.19,1.06,-0.01,446.821,2010s,Sub-Neptune,0.8907563025210085
1169,K2-189 b,K2-189,1,2,Transit,2018,2.588309,1.52,0.87,0.94,0.0,242.113,2010s,Super-Earth,1.0804597701149425
1170,K2-189 c,K2-189,1,2,Transit,2018,6.679195,2.5,0.87,0.94,0.0,242.113,2010s,Sub-Neptune,1.0804597701149425
1171,K2-19 b,K2-19,1,3,Transit,2015,7.9222,7.0,0.82,0.88,0.06,289.827,2010s,Jovian,1.0731707317073171
1172,K2-19 c,K2-19,1,3,Transit,2015,11.8993,4.1,0.82,0.88,0.06,289.827,2010s,Sub-Jovian,1.0731707317073171
1173,K2-19 d,K2-19,1,3,Transit,2016,2.5081,1.11,0.82,0.88,0.06,289.827,2010s,Super-Earth,1.0731707317073171
1174,K2-190 b,K2-190,1,2,Transit,2018,10.098858,1.357,0.91,0.9,-0.19,160.679,2010s,Super-Earth,0.989010989010989
1175,K2-190 c,K2-190,1,2,Transit,2018,21.574023,1.093,0.91,0.9,-0.19,160.679,2010s,Super-Earth,0.989010989010989
1176,K2-191 b,K2-191,1,1,Transit,2018,2.858646,1.579,0.84,0.9,0.31,287.188,2010s,Super-Earth,1.0714285714285714
1177,K2-192 b,K2-192,1,1,Transit,2018,4.162817,1.52,0.81,0.9,0.15,221.753,2010s,Super-Earth,1.1111111111111112
1178,K2-193 b,K2-193,1,1,Transit,2018,14.786889,3.95,0.98,1.01,0.0,411.923,2010s,Sub-Jovian,1.030612244897959
1179,K2-194 b,K2-194,1,1,Transit,2018,39.721386,3.642,1.28,1.11,0.1,629.51,2010s,Sub-Jovian,0.8671875000000001
1180,K2-195 b,K2-195,1,2,Transit,2018,15.852975,3.13,0.99,0.94,-0.1,315.014,2010s,Sub-Neptune,0.9494949494949495
1181,K2-195 c,K2-195,1,2,Transit,2018,28.482786,2.576,0.91,0.96,-0.09,315.014,2010s,Sub-Neptune,1.054945054945055
1182,K2-196 b,K2-196,1,1,Transit,2018,48.324222,3.6,1.54,1.16,0.01,584.877,2010s,Sub-Jovian,0.7532467532467532
1183,K2-197 b,K2-197,1,1,Transit,2018,8.357881,2.56,0.93,1.0,0.08,247.637,2010s,Sub-Neptune,1.075268817204301
1184,K2-198 b,K2-198,1,3,Transit,2018,17.0428683,4.189,0.76,0.8,0.094,110.567,2010s,Sub-Jovian,1.0526315789473684
